API_WellNo,FileNumber,Operator,WellName,County,Pool_Nm,PoolCompDate,Date_Treat,Top_,Bot,Frac_Acid,Units,Vol,Lbs_Prop,Acid_Con,MTPress,MTRate_N,Stages,Wh_Lat,Wh_Long
33053043780000,23749,"CONTINENTAL RESOURCES, INC.",ROCHESTER  5-24H1,MCKENZIE,BAKKEN,10/9/2014,8/26/2014,11678,21150,SAND,Bbl,123764,6183222,NULL,9528,50.6,30,47.87792798,-103.2902652
33053043770000,23748,"CONTINENTAL RESOURCES, INC.",ROCHESTER  2-24H,MCKENZIE,BAKKEN,2/6/2013,1/29/2013,11412,21000,SAND,Bbl,56375,2660410,NULL,7731,31,30,47.87781328,-103.3009242
33053043760000,23747,"CONTINENTAL RESOURCES, INC.",ROCHESTER  3-24H,MCKENZIE,BAKKEN,2/8/2013,1/29/2013,11483,21085,SAND,Bbl,61652,2714426,NULL,8583,31,30,47.87781266,-103.3007407
33105028010000,23746,EQUINOR ENERGY LP,MARK  4-9 2TFH,WILLIAMS,BAKKEN,1/23/2014,1/7/2014,11123,20524,SAND,Bbl,103636,3687058,NULL,9176,73.5,30,48.19673071,-103.544346
33061022440000,23744,"KRAKEN DEVELOPMENT III, LLC",FLADELAND  34-31H,MOUNTRAIL,BAKKEN,1/10/2013,1/8/2013,10345,14100,SAND,Bbl,21174,1457480,NULL,9240,35,18,48.1115912,-102.555826
33025018580000,23743,WHITING OIL AND GAS CORPORATION,KUNTZ  34-31PH,DUNN,BAKKEN,12/16/2012,12/13/2012,10855,20275,SAND,Bbl,44683,3234689,NULL,9433,42.2,30,46.98156622,-103.0191434
33061022430000,23742,"LIME ROCK RESOURCES III-A, L.P.",HANK  28-33H,MOUNTRAIL,BAKKEN,3/1/2013,2/27/2013,10012,18383,SAND,Bbl,34408,2385880,NULL,6662,36,30,48.22191979,-102.393731
33061022420000,23741,EQUINOR ENERGY LP,JEROME ANDERSON  15-10 7TFH,MOUNTRAIL,BAKKEN,4/29/2013,3/30/2013,10302,19901,SAND,Bbl,80401,3818332,NULL,9243,38.7,30,48.24156545,-102.4885517
33061022410000,23740,EQUINOR ENERGY LP,JEROME ANDERSON  15-10 6H,MOUNTRAIL,BAKKEN,4/20/2013,7/20/2017,10158,19694,SAND,Bbl,105134,1360117,NULL,8223,66,NULL,48.24156588,-102.4886749
33061022410000,23740,EQUINOR ENERGY LP,JEROME ANDERSON  15-10 6H,MOUNTRAIL,BAKKEN,4/20/2013,3/31/2013,10158,19694,SAND,Bbl,76080,3747031,NULL,9391,41.1,32,48.24156588,-102.4886749
