70722,3568555,8894,45,26,9402
18002,3488337,7827,38,27,8365
46654,3521180,10731,44.1,26,9764
71924,4109391,8774,37,26,9396
39360,1821350,8204,35.1,29,9986
23726,851649,8129,30.6,34,10952
79663,3908923,8353,39.1,38,9936
59158,4046382,8465,36.5,26,8955
30564,1878243,8026,30.5,28,10162
58915,2484949,9515,35.6,31,10861
85660,3854660,7163,35.8,39,9565
31172,2633492,8528,35.6,26,6072
49041,385244,8691,36.1,35,8327
70500,3400000,9300,28,32,10305
26225,1804385,8722,33.1,26,4432
36945,2936652,8550,31.7,21,6328
12620,1779666,7563,32.8,26,10275
43304,2965710,7367,32.1,26,6082
79007,3823300,8485,40.3,26,9315
62012,2691802,8631,38,24,9352
41719,3857207,5979,24.1,26,8447
69347,3668254,7519,35,38,9369
52730,3565744,5436,22.6,31,8419
62737,3221331,8719,51,24,9478
26754,2195698,9080,44,30,10576
49896,2807740,7620,42,24,9000
41894,2924732,8270,32.6,26,5796
44364,2656030,8250,42,26,9755
54799,3808254,7347,27.2,37,8827
50380,2716720,8840,42,30,9387
80644,2138350,8139,41.2,35,9313
71647,2901080,8872,46,24,9961
61336,2495638,8832,72,24,9441
63765,3032580,9253,71,30,8996
56949,3286788,8857,52,26,9407
41223,2951496,8676,35.1,26,7588
49693,4808646,8424,35.6,26,8403
121652,2290536,8780,74,20,5815
19872,1686920,6302,26,16,3851
82912,3976810,8618,32,26,9559
30807,1712698,7118,30.8,18,4314
23790,2611720,7805,32.9,26,9815
63388,2008520,7922,45.5,21,8643
19320,1700000,5568,31.1,26,9265
60460,2913007,8778,51,24,9939
58460,3068687,9203,41.7,26,9126
58805,2714580,8484,53,30,9444
39574,1051121,7966,44.3,26,8178
28760,1804968,7846,25.1,15,3636
37670,1816778,8669,25.4,15,3590
42691,3816338,6057,24.3,26,8601
80500,2736620,9624,37.1,26,9877
77514,3163242,9161,36.1,26,9163
53946,1148216,9057,43.2,26,9126
10327,2322160,6576,34,26,3228
10327,2322160,6576,34,26,3228
69347,1498594,7296,44,26,9000
32764,1990780,8823,40.8,30,9535
53364,2115746,7682,31.8,21,9040
64758,4267169,7077,24.4,38,9060
48649,3832818,8415,33.1,26,8648
51137,3710788,7899,25.3,38,8900
99886,99886,8544,27.3,26,9111
52005,2537334,8804,53,24,8900
32141,1641440,9273,41.7,26,8958
30633,2373100,6962,43.9,26,9532
22756,1373380,8808,40,23,10479
61124,3609702,8974,37.4,34,9835
52314,2565588,8784,39.3,26,7263
24461,1937580,8755,42.4,28,9206
42404,4011380,9180,38.7,34,9596
42008,2939960,8112,35.8,26,9270
43789,2387775,8657,37.5,26,4701
34568,2157505,8680,35,30,7991
40681,2163560,8601,32.6,24,9773
56372,2708757,9341,50,26,10089
54091,4864841,7305,23.3,42,11637
68672,4790703,8452,31,31,3446
65920,3244178,8877,65,26,9785
61762,2868507,7437,32.4,26,10472
67187,2903340,6727,43.9,26,4716
38976,2587272,8234,37,30,9536
42693,1872280,8917,43.5,30,9225
50434,3123443,7799,32.2,26,9090
42074,3126520,8099,32.2,21,9376
63852,1310220,8280,53,21,9265
57597,2408946,8856,52.5,26,9748
24999,1671880,7041,41,26,9592
52755,3143246,9152,32,26,9081
34602,2582300,8738,40,30,8727
79913,3302141,8989,36,27,9155
55324,4204021,5974,31.1,31,8738
49833,4051936,6128,26.9,31,8952
50100,4152330,6881,24.3,26,9309
87040,3988151,8659,38,38,9278
39978,1986360,8782,40.6,26,9546
52311,3974418,6997,34,26,9721
1792,60500,6667,39.4,22,9745
43386,2618360,7925,30,26,6254
23621,1705560,8539,41.2,26,8584
41991,2837086,5764,31,26,9000
57330,2494960,7290,31,26,9000
34512,2764850,9053,36,26,9000
69104,2823327,8601,36.5,22,9307
50308,2649708,7504,30.9,30,10447
59454,4225196,7159,36,26,9968
76848,2756160,9033,41.7,27,9599
52339,2525389,8377,38,30,9730
26177,1870420,6284,41.5,26,6208
29854,1365535,9183,35,26,7211
60500,4500000,8500,30,32,9466
47438,2184253,8045,30.9,26,9628
35340,1416760,8728,43.6,26,9298
47616,2795570,6850,32,26,9665
28250,2079840,6698,40.1,26,9067
58683,4263057,8351,33.8,31,10217
76510,3504900,9045,36.9,26,8901
75041,3494590,8709,55,26,9941
63079,3405545,8831,57,24,10048
28293,2380380,7725,31.7,26,9186
22300,2627480,6706,35.6,26,9244
61275,3424856,8400,43,26,9482
41765,2792980,6860,38,24,9443
62653,3227266,8640,64,24,9383
77129,4399450,9882,41.6,26,9488
46583,3939833,6094,24.4,21,8380
48606,4288377,5920,24.2,26,9214
53590,4235424,6642,24.2,31,9458
42574,3912944,6550,24.3,21,8544
58529,3271243,8575,47,24,9694
88130,4348636,8882,48,26,9042
53150,2744862,8560,33.8,26,9602
53887,2832894,8084,30.7,30,9577
37568,2281679,7937,30.4,24,10087
4330,2046060,8442,30.3,26,10219
68962,3558284,9829,40,26,9730
60696,3431240,7150,31,30,9693
52881,4091582,8465,35,26,9118
33596,2017200,8332,40.9,30,9522
76191,3693601,7702,38.4,26,8329
36260,2152800,8116,41.5,20,9220
50569,2578750,8200,42,30,9510
37067,3736263,9271,24.1,26,8841
48315,3988933,6498,23.7,31,9471
58347,2472897,8097,41,30,9560
22740,2000000,7909,38.1,26,10852
59994,2862455,7574,33.9,26,9572
65107,2098640,8986,36.9,21,8887
28849,2632980,9137,45,26,9544
52980,2479050,8742,56,26,9229
70100,3207175,8947,39.3,20,9420
83285,3990500,7901,35.7,26,9341
72888,3711848,6405,36.7,38,8779
46833,3992800,8008,37.7,26,9754
83877,3462456,8887,42.1,38,11100
78608,3330826,8500,35,26,9452
55422,2883075,7284,31.7,26,9000
17124,794000,6979,37,8,2565
41576,2809080,8844,41.2,26,9587
49705,2391309,8646,41.6,24,9054
49486,2267142,7200,35,12,4291
46310,4085046,5621,26.2,26,8744
2144,148995,7035,34.9,26,9206
15381,856931,9778,40.4,8,9037
74606,3788911,8290,42,26,9612
55938,1870300,8479,34.3,25,7240
50487,2237626,8380,33.6,26,9555
21170,2062513,9021,31.5,38,9191
66691,3945860,8825,39.7,26,9900
33733,2593150,6916,45.5,26,9321
41550,1159306,8545,30.9,26,5580
68975,3641760,7538,40.7,26,8978
25702,1872400,8709,41.1,26,9909
48788,2777062,9342,39.6,31,9187
12413,376800,8355,40,5,1217
45176,3471326,6730,26.5,26,8331
66922,3899810,8584,37.7,26,9247
83101,4531805,9585,40,26,9991
67931,2882383,8512,36.1,23,9054
91879,4118611,10596,43.1,26,9585
66405,3137094,7893,32.1,25,9259
23118,2647800,7392,33.5,20,9421
71269,4452250,8640,38,31,9106
58852,2916992,7997,40,38,9653
59395,3459617,8180,40,26,9634
44982,2055962,7160,31.7,30,9396
73014,4115740,9895,39.9,26,9518
80532,4103460,9470,40.7,33,9972
74801,3189040,8431,35.6,26,9718
69633,3305000,8970,37.1,26,8416
56834,2992270,7842,44.5,26,9438
49862,2352788,8200,37.5,25,7578
51263,3554500,8950,41.5,26,9542
91554,4856886,9120,35.7,20,9366
51958,3378730,8675,42.3,30,9448
32926,1895300,8732,68.1,29,9330
20545,1870020,7822,31.8,26,9020
20545,1870020,7822,31.8,26,9020
20275,1870020,7096,34.2,26,4402
20275,1870020,7096,34.2,26,4402
